更新时间: 2026-03-19 22:45:35（北京时间）

更新时间,#genre#
2026-03-19 22:45:35,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
金鹰纪实,http://113.120.99.171:7002/rtp/239.21.1.170:5002$山东电信
金鹰纪实,http://221.232.103.130:8989/rtp/239.69.1.109:10292$湖北电信
金鹰纪实,http://123.112.210.117:4022/rtp/239.3.1.58:8156$北京市联通
金鹰纪实,http://220.176.218.207:9000/rtp/239.252.220.155:5140$江西电信
纪实科教,http://113.120.99.171:7002/rtp/239.21.1.172:5002$山东电信
纪实科教,http://123.112.210.117:4022/rtp/239.3.1.115:8000$北京市联通
睛彩青少,http://123.112.210.117:4022/rtp/239.3.1.127:8001$北京市联通
睛彩竞技,http://123.112.210.117:4022/rtp/239.3.1.125:8001$北京市联通
睛彩篮球,http://123.112.210.117:4022/rtp/239.3.1.126:8001$北京市联通
睛彩广场舞,http://123.112.210.117:4022/rtp/239.3.1.128:8001$北京市联通
魅力足球,http://113.120.99.171:7002/rtp/239.21.2.95:5002$山东电信
快乐垂钓,http://113.120.99.171:7002/rtp/239.21.2.97:5002$山东电信
快乐垂钓,http://221.232.103.130:8989/rtp/239.69.1.142:10488$湖北电信
快乐垂钓,http://123.112.210.117:4022/rtp/239.3.1.164:8001$北京市联通
快乐垂钓,http://220.176.218.207:9000/rtp/239.252.220.177:5140$江西电信
茶频道,http://221.232.103.130:8989/rtp/239.69.1.144:10500$湖北电信
茶频道,http://220.176.218.207:9000/rtp/239.252.220.160:5140$江西电信
汽摩,http://113.120.99.171:7002/rtp/239.21.2.142:5002$山东电信
梨园频道,http://113.120.99.171:7002/rtp/239.21.2.101:5002$山东电信
梨园频道,http://221.232.103.130:8989/rtp/239.69.1.33:9838$湖北电信
梨园频道,http://220.176.218.207:9000/rtp/239.252.220.179:5140$江西电信
文物宝库,http://113.120.99.171:7002/rtp/239.21.2.109:5002$山东电信
文物宝库,http://220.176.218.207:9000/rtp/239.252.220.158:5140$江西电信
武术世界,http://113.120.99.171:7002/rtp/239.21.2.96:5002$山东电信
武术世界,http://221.232.103.130:8989/rtp/239.69.1.47:9922$湖北电信
武术世界,http://220.176.218.207:9000/rtp/239.252.220.180:5140$江西电信
乐游,http://113.120.99.171:7002/rtp/239.21.2.104:5002$山东电信
生活时尚,http://113.120.99.171:7002/rtp/239.21.2.103:5002$山东电信
都市剧场,http://113.120.99.171:7002/rtp/239.21.2.90:5002$山东电信
游戏风云,http://113.120.99.171:7002/rtp/239.21.2.107:5002$山东电信
金色学堂,http://113.120.99.171:7002/rtp/239.21.2.102:5002$山东电信
动漫秀场,http://113.120.99.171:7002/rtp/239.21.2.92:5002$山东电信
新动漫,http://220.176.218.207:9000/rtp/239.252.220.132:5140$江西电信
卡酷少儿,http://113.120.99.171:7002/rtp/239.21.2.120:5002$山东电信
卡酷少儿,http://221.232.103.130:8989/rtp/239.69.1.193:10800$湖北电信
卡酷少儿,http://123.112.210.117:4022/rtp/239.3.1.189:8000$北京市联通
卡酷少儿,http://220.176.218.207:9000/rtp/239.252.219.109:5140$江西电信
金鹰卡通,http://113.120.99.171:7002/rtp/239.21.2.121:5002$山东电信
金鹰卡通,http://221.232.103.130:8989/rtp/239.69.1.248:11130$湖北电信
金鹰卡通,http://123.112.210.117:4022/rtp/239.3.1.51:9252$北京市联通
金鹰卡通,http://220.176.218.207:9000/rtp/239.252.219.69:5140$江西电信
哈哈炫动,http://220.176.218.207:9000/rtp/239.252.219.43:5140$江西电信
嘉佳卡通,http://123.112.210.117:4022/rtp/239.3.1.147:9268$北京市联通
嘉佳卡通,http://220.176.218.207:9000/rtp/239.252.219.92:5140$江西电信
中国交通,http://113.120.99.171:7002/rtp/239.21.1.115:5002$山东电信
中国交通,http://123.112.210.117:4022/rtp/239.3.1.188:8001$北京市联通
中国天气,http://220.176.218.207:9000/rtp/239.252.219.143:5140$江西电信
华数4K,http://220.176.218.207:9000/rtp/239.252.220.212:5140$江西电信
华数星影,http://220.176.218.207:9000/rtp/239.252.220.210:5140$江西电信
华数动作影院,http://220.176.218.207:9000/rtp/239.252.220.85:5140$江西电信
华数喜剧影院,http://220.176.218.207:9000/rtp/239.252.220.79:5140$江西电信
华数经典电影,http://220.176.218.207:9000/rtp/239.252.220.139:5140$江西电信
华数热播剧场,http://220.176.218.207:9000/rtp/239.252.220.138:5140$江西电信
华数碟战剧场,http://220.176.218.207:9000/rtp/239.252.220.145:5140$江西电信
华数军旅剧场,http://220.176.218.207:9000/rtp/239.252.220.76:5140$江西电信
华数城市剧场,http://220.176.218.207:9000/rtp/239.252.220.75:5140$江西电信
华数武侠剧场,http://220.176.218.207:9000/rtp/239.252.220.88:5140$江西电信
华数古装剧场,http://220.176.218.207:9000/rtp/239.252.220.77:5140$江西电信
华数魅力时尚,http://220.176.218.207:9000/rtp/239.252.220.137:5140$江西电信
华数少儿动画,http://220.176.218.207:9000/rtp/239.252.220.136:5140$江西电信
华数动画,http://220.176.218.207:9000/rtp/239.252.219.165:5140$江西电信

湖北,#genre#
湖北公共新闻,http://221.232.103.130:8989/rtp/239.69.1.40:9880$湖北电信
湖北经视频道,http://221.232.103.130:8989/rtp/239.69.1.41:9886$湖北电信
湖北综合频道,http://221.232.103.130:8989/rtp/239.69.1.42:9892$湖北电信
湖北垄上频道,http://221.232.103.130:8989/rtp/239.69.1.43:9898$湖北电信
湖北影视频道,http://221.232.103.130:8989/rtp/239.69.1.204:10866$湖北电信
湖北生活频道,http://221.232.103.130:8989/rtp/239.69.1.205:10872$湖北电信
湖北教育频道,http://221.232.103.130:8989/rtp/239.69.1.206:10878$湖北电信
武汉新闻综合,http://221.232.103.130:8989/rtp/239.69.1.145:10506$湖北电信
武汉电视剧,http://221.232.103.130:8989/rtp/239.69.1.146:10512$湖北电信
武汉科技生活,http://221.232.103.130:8989/rtp/239.69.1.251:11148$湖北电信
武汉文体频道,http://221.232.103.130:8989/rtp/239.69.1.147:10518$湖北电信
武汉教育频道,http://221.232.103.130:8989/rtp/239.69.1.60:9994$湖北电信
阳新综合,http://221.232.103.130:8989/rtp/239.69.1.34:9844$湖北电信
房县综合,http://221.232.103.130:8989/rtp/239.69.1.192:10794$湖北电信
蔡甸综合,http://221.232.103.130:8989/rtp/239.69.1.245:11112$湖北电信

